epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,166.221,1.8122,2.7309,1.53202,0.00695,0.19444,0.02928,0.01501,2.51158,3.69519,1.81504,0.000118893,0.000118893,0.000118893
42,169.984,1.84777,2.95805,1.57178,0.00695,0.19444,0.02928,0.01501,2.51158,3.69519,1.81504,0.000110264,0.000110264,0.000110264
43,173.932,1.74323,2.61953,1.52234,0.00667,0.19444,0.02419,0.01169,2.58776,3.70115,1.85148,0.00010107,0.00010107,0.00010107
44,177.707,1.73123,2.66467,1.45272,0.00667,0.19444,0.02419,0.01169,2.58776,3.70115,1.85148,9.13102e-05,9.13102e-05,9.13102e-05
45,181.497,1.68708,2.63769,1.36168,0.00686,0.19444,0.02315,0.01204,2.59563,3.71706,1.83412,8.09843e-05,8.09843e-05,8.09843e-05
46,185.248,1.67279,2.77428,1.50404,0.00686,0.19444,0.02315,0.01204,2.59563,3.71706,1.83412,7.00924e-05,7.00924e-05,7.00924e-05
47,189.062,1.65834,2.5224,1.43652,0.00587,0.17222,0.02143,0.01157,2.64165,3.7006,1.84305,5.86347e-05,5.86347e-05,5.86347e-05
48,192.9,1.75894,2.79638,1.4776,0.00587,0.17222,0.02143,0.01157,2.64165,3.7006,1.84305,4.66111e-05,4.66111e-05,4.66111e-05
49,196.8,1.78574,2.75188,1.50886,0.00745,0.19444,0.02467,0.01201,2.65362,3.68281,1.83766,3.40216e-05,3.40216e-05,3.40216e-05
50,200.669,1.7793,2.81104,1.51695,0.00745,0.19444,0.02467,0.01201,2.65362,3.68281,1.83766,2.08663e-05,2.08663e-05,2.08663e-05
